"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","database.id","database"
"2019-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"Total USD amount distributed","i1878642506",NA,"1.1.2.2_LEB:Total USD amount distributed","USD",2450,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1338460186","s0013520062","2019-01-01",10145,"LCRP-2019-R Basic Assistance"
"2019-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"Total USD amount distributed","i1878642506",NA,"1.1.2.2_LEB:Total USD amount distributed","USD",2450,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1599028483","s0013520062","2019-04-01",10145,"LCRP-2019-R Basic Assistance"
"2019-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"Total USD amount distributed","i1878642506",NA,"1.1.2.2_LEB:Total USD amount distributed","USD",2450,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m0077028333","s0013520062","2019-05-01",10145,"LCRP-2019-R Basic Assistance"
"2019-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"# of households receiving multi-sector/ purpose cash transfers (total reached every month)","i0420951760",NA,"1.1.2.1_LEB:# of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",14,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1338460186","s0013520062","2019-01-01",10145,"LCRP-2019-R Basic Assistance"
"2019-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"# of households receiving multi-sector/ purpose cash transfers (total reached every month)","i0958010638",NA,"1.1.2.1_SYR:# of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",16,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1599028483","s0013520062","2019-04-01",10145,"LCRP-2019-R Basic Assistance"
"2019-07-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"# of households receiving multi-sector/ purpose cash transfers (total reached every month)","i0958010638",NA,"1.1.2.1_SYR:# of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",16,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m0606806504","s0013520062","2019-07-01",10145,"LCRP-2019-R Basic Assistance"
"2019-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"Total USD amount distributed","i1878642506",NA,"1.1.2.2_LEB:Total USD amount distributed","USD",2450,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1281065142","s0013520062","2019-03-01",10145,"LCRP-2019-R Basic Assistance"
"2019-08-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"# of households receiving multi-sector/ purpose cash transfers (total reached every month)","i0958010638",NA,"1.1.2.1_SYR:# of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",16,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m0523855477","s0013520062","2019-08-01",10145,"LCRP-2019-R Basic Assistance"
"2019-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"Total USD amount distributed","i0541763741",NA,"1.1.2.2_SYR:Total USD amount distributed","USD",2800,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1281065142","s0013520062","2019-03-01",10145,"LCRP-2019-R Basic Assistance"
"2019-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"# of households receiving multi-sector/ purpose cash transfers (total reached every month)","i0420951760",NA,"1.1.2.1_LEB:# of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",14,NA,NA,"Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Beirut","Relief International","p0000000941","RI",NA,NA,"US - BPRM","m1599028483","s0013520062","2019-04-01",10145,"LCRP-2019-R Basic Assistance"
