"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.plan","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","ck7fvxza5f","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-02","IOCC Lebanon","International Orthodox Christian Charities - Lebanon",NA,"2020-08-31",NA,"LEBA/PCA2017023/PD2019695","Community engagement in El-Mina for local integrated programming at the municipality level”","2019-09-02","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",129
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","ck8pnl7kpd","LBN61","Saida","2 Activities done in collaboration with Municipality of Saida and Blue Mission association, it took place in the public library...",NA,"UNICEF",8,"Sud","2020-02","ASSABIL","ASSABIL",NA,"2020-03-31",NA,"LEBA/SSFA2019527","UNICEF - Communication for development and Child rights Promotion","2019-06-16","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",15
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","c9nw4qtki7a8uq73","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-04","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",255
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","cxfiixyki7au38l4","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-05","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",255
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","cmtv28rki7auplp5","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-06","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",255
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","c9dp5rgki7b4kvu9","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-07","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",5318
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","ck2jrvzki7b7hwna","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-08","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",5318
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","cqzp3l0ki7b87lmb","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-09","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",5318
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","cav20c4ki7b90oqc","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-10","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",5318
"0. 2020 Sectors Reporting ","ck2yrizmo2","13- Communications 4 Development","Monthly Reporting","ck6hkschwc","District Level Reporting","ck6hkr26p7","cff9yhyki7b9m2dd","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-11","Rahma Association","Rahma Association",NA,"2020-12-15",NA,"LEBA/PCA2O1 70661PD2020736","Specialized Services and Social inclusion for Refugee Children with disabilities","2020-01-15","i1165536807",NA,"5.4.1.b SYR_Female: # of men, women and children reached with C4D priority child rights messages",5318
